# Constructed from biom file
#OTU ID	PUF-IPEX-3	PUF-BOU-7	PUF-MBO-4	PUF-BOT-3	CTRL-neg-extraction-PUF	PUF-BOT-10	PUF-JD-10	PUF-IPEX-1	PUF-IPEX-8	PUF-JD14
947d103d0e3192467b5fda6ff37e7146	7969.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0
b43d19c6734061aba20cde4334b0c772	973.0	1.0	948.0	0.0	0.0	754.0	684.0	13.0	173.0	1728.0
efbf72a920a03347f6407072b84a43f9	341.0	0.0	474.0	0.0	0.0	0.0	248.0	10.0	1465.0	384.0
7f182575baad2d44cbddc0244753a1f5	246.0	0.0	0.0	0.0	0.0	0.0	8.0	0.0	10.0	0.0
e2acd4fdce2163d8d0e1baaff3074f01	228.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
53814ac04567f8e2287c46b0b52f47f1	164.0	49.0	0.0	0.0	0.0	0.0	257.0	0.0	594.0	149.0
0c11abb10ca8c4ca6a9466f89d510f2e	144.0	84.0	349.0	0.0	0.0	2415.0	1333.0	45.0	1265.0	875.0
0d1a483ebd4773116542454b0cc1a266	124.0	157.0	450.0	0.0	0.0	0.0	0.0	0.0	422.0	0.0
f031b07755265e77bda32778bf0081a4	109.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
186655c711d9c22435d048944254d180	105.0	18.0	0.0	0.0	0.0	0.0	0.0	25.0	147.0	64.0
bcf59b4926413543b3fb02800d2d5b80	101.0	0.0	0.0	0.0	0.0	0.0	88.0	0.0	27.0	65.0
eec2170a8f2d0cd7dc3a18841a1ea5c7	101.0	100.0	4668.0	0.0	0.0	54.0	33.0	1.0	1085.0	437.0
1ff367e0f102d6ce0e147114d2c9bbbd	94.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2c4dff555b2582367902ad3e38b509f4	89.0	0.0	0.0	0.0	0.0	0.0	0.0	23.0	0.0	0.0
4916354e10b56f01558cec61ea960e29	78.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
28322f16f318f6f937eec8e15d7e8a06	76.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.0	0.0
84d466ebc485ab20f3291f656031a621	70.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
cd105d28d4d35f057ad155c0d6676939	69.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
bec08d51eb66022d7172c03768d5fd5d	64.0	20.0	157.0	0.0	0.0	1648.0	1078.0	0.0	404.0	68.0
