# Constructed from biom file
#OTU ID	CTRL-neg-extraction-PUF	ctrl-PCR-neg-PUF	PUF-BOT-10	PUF-BOT-3	PUF-BOU-7	PUF-IPEX-1	PUF-IPEX-3	PUF-IPEX-8	PUF-JD-10	PUF-JD14	PUF-MBO-4
0c11abb10ca8c4ca6a9466f89d510f2e	0.0	0.0	3442.0	0.0	99.0	54.0	178.0	1818.0	2172.0	1202.0	471.0
589974931988706a852f1bb2c5aa12dc	0.0	0.0	0.0	0.0	37.0	0.0	58.0	7498.0	187.0	290.0	1360.0
afb94828a83235f617d67b54fe89fe79	0.0	0.0	259.0	0.0	19.0	0.0	0.0	218.0	8491.0	0.0	0.0
a38777c69c910bc8f231702574dffe70	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8342.0	0.0	0.0
b43d19c6734061aba20cde4334b0c772	0.0	0.0	981.0	0.0	0.0	15.0	1018.0	216.0	1030.0	2316.0	1241.0
eec2170a8f2d0cd7dc3a18841a1ea5c7	0.0	0.0	69.0	0.0	79.0	0.0	104.0	1056.0	52.0	413.0	4733.0
947d103d0e3192467b5fda6ff37e7146	0.0	0.0	0.0	0.0	0.0	0.0	5472.0	0.0	0.0	0.0	0.0
f7718bbdbd503a21d2692b3b333490cb	0.0	0.0	0.0	0.0	51.0	0.0	0.0	4293.0	349.0	0.0	38.0
bec08d51eb66022d7172c03768d5fd5d	0.0	0.0	2094.0	0.0	28.0	0.0	68.0	492.0	1447.0	121.0	188.0
efbf72a920a03347f6407072b84a43f9	0.0	0.0	0.0	0.0	0.0	15.0	363.0	1931.0	386.0	475.0	645.0
db800311f5ae69565ec96214053622f1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2030.0	0.0	0.0
53814ac04567f8e2287c46b0b52f47f1	0.0	0.0	0.0	0.0	56.0	0.0	168.0	834.0	356.0	208.0	0.0
855c2fab8cc20bbb6ccd9f90e7c5baff	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.0	0.0	0.0	1558.0
1ab92998d0248302ff6f9c8b69237e05	0.0	0.0	0.0	0.0	0.0	14.0	0.0	1518.0	0.0	21.0	0.0
e568316642a9d4f2542e85dcc7267df7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	86.0	126.0	131.0	1190.0
0d1a483ebd4773116542454b0cc1a266	0.0	0.0	0.0	0.0	169.0	0.0	97.0	561.0	0.0	0.0	498.0
be8dc1271132728b62d899f6fe83b643	0.0	0.0	0.0	0.0	0.0	0.0	37.0	0.0	547.0	425.0	0.0
07b3e4d27e8e313b10f3f0c1abbc367d	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	880.0	0.0	0.0
757ecae2e601e8cb8f983ac712833b60	0.0	0.0	0.0	0.0	0.0	0.0	0.0	129.0	0.0	0.0	638.0
e6a5d465c0e92eb61139c146390b326f	0.0	0.0	0.0	0.0	0.0	0.0	0.0	615.0	0.0	0.0	0.0
c0899651ae378553204b1e5ea53060b9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	561.0	0.0	0.0	0.0
5f907557675481632654c893c4e319d5	0.0	0.0	0.0	0.0	0.0	0.0	91.0	0.0	55.0	265.0	140.0
42a334b44b84641c69386150c7cde441	0.0	0.0	0.0	0.0	38.0	14.0	0.0	255.0	0.0	0.0	242.0
7c52a29f282c5b604c81d08d5511e009	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	116.0	418.0	0.0
