"Level","site","ID_order","from","to","Taxon","Reads","Fx"
"k","Bird Observatory","PUF_MBO_01","20/05/2024","03/06/2024","Metazoa_33208",2282,1
"k","Bird Observatory","PUF_MBO_02","03/06/2024","17/06/2024","Metazoa_33208",15353,1
"k","Bird Observatory","PUF_MBO_03","17/06/2024","01/07/2024","Metazoa_33208",628,1
"k","Bird Observatory","PUF_MBO_04","01/07/2024","15/07/2024","Metazoa_33208",1115,1
"k","Bird Observatory","PUF_MBO_05","15/07/2024","29/07/2024","Metazoa_33208",9251,1
"k","Bird Observatory","PUF_MBO_06","29/07/2024","12/08/2024","Metazoa_33208",907,1
"k","Bird Observatory","PUF_MBO_07","12/08/2024","26/08/2024","Metazoa_33208",1685,1
"k","Bird Observatory","PUF_MBO_08","26/08/2024","09/09/2024","Metazoa_33208",1611,1
"k","Bird Observatory","PUF_MBO_09","09/09/2024","23/09/2024","Metazoa_33208",2812,1
"k","Bird Observatory","PUF_MBO_10","23/09/2024","07/10/2024","Metazoa_33208",1581,1
"k","Botanical Garden","PUF_BOT_01","17/05/2024","31/05/2024","Metazoa_33208",811,1
"k","Botanical Garden","PUF_BOT_02","31/05/2024","14/06/2024","Metazoa_33208",2389,1
"k","Botanical Garden","PUF_BOT_03","24/06/2024","28/06/2024","Metazoa_33208",88,1
"k","Botanical Garden","PUF_BOT_04","28/06/2024","12/07/2024","Metazoa_33208",920,1
"k","Botanical Garden","PUF_BOT_05","12/07/2024","26/07/2024","Metazoa_33208",1517,1
"k","Botanical Garden","PUF_BOT_06","26/07/2024","09/08/2024","Metazoa_33208",19670,1
"k","Botanical Garden","PUF_BOT_07","09/08/2024","23/08/2024","Metazoa_33208",2614,1
"k","Botanical Garden","PUF_BOT_08","23/08/2024","06/09/2024","Metazoa_33208",1168,1
"k","Botanical Garden","PUF_BOT_09","06/09/2024","20/09/2024","Metazoa_33208",1427,1
"k","Botanical Garden","PUF_BOT_10","20/09/2024","04/10/2024","Metazoa_33208",3853,1
"k","Boucherville","PUF_BOU_01","27/05/2024","10/06/2024","Metazoa_33208",252,1
"k","Boucherville","PUF_BOU_02","10/06/2024","24/06/2024","Metazoa_33208",1048,1
"k","Boucherville","PUF_BOU_03","24/06/2024","08/07/2024","Metazoa_33208",640,1
