# Constructed from biom file
#OTU ID	CTRL-neg-extraction-PUF	ctrl-PCR-neg-PUF	PUF-BOT-10	PUF-BOT-3	PUF-BOU-7	PUF-IPEX-1	PUF-IPEX-3	PUF-IPEX-8	PUF-JD-10	PUF-JD14	PUF-MBO-4
afb94828a83235f617d67b54fe89fe79	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	33555.0	0.0	0.0
589974931988706a852f1bb2c5aa12dc	0.0	0.0	0.0	0.0	69.0	0.0	147.0	20533.0	369.0	667.0	3298.0
a38777c69c910bc8f231702574dffe70	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14301.0	0.0	0.0
b43d19c6734061aba20cde4334b0c772	0.0	0.0	1837.0	0.0	0.0	0.0	0.0	0.0	1909.0	4423.0	2618.0
f7718bbdbd503a21d2692b3b333490cb	0.0	0.0	0.0	0.0	148.0	0.0	0.0	8990.0	832.0	0.0	77.0
efbf72a920a03347f6407072b84a43f9	0.0	0.0	0.0	0.0	0.0	0.0	830.0	4173.0	0.0	966.0	1319.0
16a928acd0edd8ec42e8052b1df49aeb	234.0	0.0	2380.0	715.0	0.0	0.0	0.0	802.0	403.0	0.0	2592.0
9479c94a8356ab43a89f6e4882339b14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4176.0	0.0	0.0
db800311f5ae69565ec96214053622f1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3654.0	0.0	0.0
855c2fab8cc20bbb6ccd9f90e7c5baff	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3580.0
07b3e4d27e8e313b10f3f0c1abbc367d	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2489.0	0.0	0.0
be8dc1271132728b62d899f6fe83b643	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1347.0	820.0	0.0
53814ac04567f8e2287c46b0b52f47f1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1101.0	598.0	359.0	0.0
c0899651ae378553204b1e5ea53060b9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1385.0	0.0	0.0	0.0
e6a5d465c0e92eb61139c146390b326f	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1244.0	0.0	0.0	0.0
5f991012def010c537cabe594bdd6e7a	0.0	0.0	1109.0	0.0	0.0	0.0	0.0	0.0	72.0	0.0	0.0
5f907557675481632654c893c4e319d5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	113.0	536.0	295.0
186655c711d9c22435d048944254d180	0.0	0.0	0.0	0.0	0.0	0.0	232.0	459.0	0.0	200.0	0.0
b19032388a05684f63f247bf087d65e3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	852.0
7c52a29f282c5b604c81d08d5511e009	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	214.0	554.0	0.0
a4ce6cfe96b9ce0ad304803934790435	0.0	0.0	0.0	0.0	86.0	0.0	0.0	530.0	143.0	0.0	0.0
8249522b9a4dc10f88a130fc6a78098a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	661.0	0.0	0.0
a3612a98863d0cb2a0423fb56a0bef70	0.0	0.0	0.0	0.0	387.0	0.0	250.0	0.0	0.0	0.0	0.0
eec2170a8f2d0cd7dc3a18841a1ea5c7	0.0	0.0	0.0	0.0	254.0	0.0	380.0	0.0	0.0	0.0	0.0
50bde5a88b8a13509442b4c6def53e4a	0.0	0.0	616.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
893a317ff25f3be600989440e8428424	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	551.0
8187787e018ce4815342f12d65ff7dc8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	408.0	134.0
6a6cea84fad711c9cce5a727d388e1c1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	540.0
9774b41a2de680fe8d0d03cda73003fc	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	531.0
a26e6cc23365c60897b7d620c23de990	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	169.0	339.0	0.0
bd29633837bcc3003dd038eac7ec33ff	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	505.0	0.0
682ae8f36c0925e7bd905e32fe5d80c7	0.0	0.0	0.0	0.0	0.0	0.0	492.0	0.0	0.0	0.0	0.0
42a334b44b84641c69386150c7cde441	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	472.0
9fef5822b6479afee6e10ef53e9236c2	0.0	0.0	460.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
bcf59b4926413543b3fb02800d2d5b80	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	307.0	143.0	0.0
e568316642a9d4f2542e85dcc7267df7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	433.0	0.0	0.0
5f55b40d2f45184f5c9a56b8f5713317	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	424.0	0.0
a9649dc75c437494ef47fb5c4191b00f	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	415.0
d81f6cdff61b07652ac3a1e24f7d4d34	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	410.0	0.0
385f9d354c8f8f8a9480db16d720ce5a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	386.0	0.0
a94d5933f8cbed393e5699f4e53e8c13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	383.0	0.0
30d1f39562968d4b798847c2e714c64b	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	372.0	0.0
6d33d1750c1d9bfbcbecf53b8d67be8e	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	359.0	0.0	0.0
5b83be8884718e4af4da748d75359e7f	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	352.0	0.0
d1f498b407238a672962bbedb106f9f0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	59.0	0.0	0.0	273.0
0a914e55f8544b693484ca7bb5b2b04a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	322.0	0.0
3fce04aacbf052e126e4dab1d663d992	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	321.0	0.0
0818b54bc8491e9ca30cf7de1cc0eedc	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	315.0	0.0
0180c418a1d46063a877eb5a4578d32f	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	306.0	0.0
5580961b9a41be03abce5562553ec49c	0.0	0.0	298.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
a4b88b3eda4e5d85853c3caeffd899b4	0.0	0.0	0.0	0.0	0.0	0.0	288.0	0.0	0.0	0.0	0.0
3bb007ac3f5281d20a0fa499105676c6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	280.0	0.0	0.0
5bfa8f38a8fdf7735699766cee275666	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	280.0	0.0
f338346f08fc342a59a67e628e2091dc	0.0	0.0	89.0	0.0	0.0	0.0	0.0	0.0	0.0	189.0	0.0
8c03c00ae629a80575bd794e13111cda	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	265.0
aec35e427b95f1cbf2c6d6503e172a4f	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	251.0	0.0
39de0161bcdd43c5e9fda074676f6950	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	250.0	0.0	0.0
d6626a1d124518b308f9a8879b48cdbf	0.0	0.0	0.0	0.0	0.0	0.0	0.0	84.0	160.0	0.0	0.0
889a39ca8d956f2329215d437c5b6031	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	243.0	0.0
02e9a719b9dab5bd47c5fa414506bceb	0.0	0.0	0.0	0.0	0.0	0.0	0.0	242.0	0.0	0.0	0.0
32f572690ba816e1a0504c9650dba2da	0.0	0.0	0.0	0.0	0.0	0.0	0.0	239.0	0.0	0.0	0.0
1ff367e0f102d6ce0e147114d2c9bbbd	0.0	0.0	0.0	0.0	0.0	0.0	233.0	0.0	0.0	0.0	0.0
915a47b4d3aa9b7794496314e638d3f4	0.0	0.0	0.0	0.0	0.0	0.0	229.0	0.0	0.0	0.0	0.0
7ef585184d09a2e4635d0aeeada52a46	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	119.0	105.0	0.0
6874dd172e908401f659917eccfef8b1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	215.0	0.0
9120a8bbdc5d8261589ee9e90f0509a9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	210.0	0.0	0.0	0.0
bc0238b88bb1a3e88f6a9f470c34464f	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	204.0	0.0	0.0
5ec0c4b740623cfb7faf840d836c5204	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	204.0	0.0
fe7998f1d0b6094f1264284a45bbe674	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	194.0	0.0	0.0
4b03ec4eb7c17f6e6654dd7d2e85c4c4	0.0	0.0	185.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
60ed8a06138d911c61bed7f3f6fd672a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	180.0
5fd6c9a3a6bd9b48aa94a0813c11c0fe	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	178.0	0.0
990e780073b5048eefc2b8e23979a5e6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	178.0	0.0
46887261dcfc9c9ed16c3d394da9675c	0.0	0.0	0.0	0.0	0.0	0.0	169.0	0.0	0.0	0.0	0.0
2cd5cd2d6853681240817a74c9f7c3eb	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	168.0
49227d040aedf2b28214ba15e6d6e85e	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	167.0	0.0
b4973746d688a7879255e08741b614fc	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	163.0	0.0
e2f909b13c3ebf8128f397a64f5faae1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	163.0	0.0
7970c113788b8dd3c3d4ab8cd0cff958	0.0	0.0	0.0	0.0	0.0	0.0	151.0	0.0	0.0	0.0	0.0
5701f2c6766199fbd925fdb7d4b73d9c	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	151.0	0.0	0.0
ecab90c53b0e4386036a4937a4eb3824	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	146.0	0.0	0.0
f146e43ee2fe3285afe3623632fd4085	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	142.0	0.0	0.0
385c3a8ae5cd52b4f446e7404d881a1c	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	141.0	0.0
0bc004d35f205c438a2e00b301c91f16	0.0	0.0	0.0	0.0	0.0	0.0	0.0	137.0	0.0	0.0	0.0
2f6d31c33226b9891e79606517221667	0.0	0.0	0.0	0.0	0.0	0.0	136.0	0.0	0.0	0.0	0.0
269faefa124ce63f1c4f0535c639da13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	134.0	0.0	0.0	0.0
efe1ce8e8d1b9cdb5da01eb790e3abcc	0.0	0.0	0.0	0.0	0.0	0.0	132.0	0.0	0.0	0.0	0.0
f31c8c55f8c5c4dbdda880dcbad99ed0	0.0	0.0	0.0	0.0	0.0	0.0	129.0	0.0	0.0	0.0	0.0
250d17eba03bf76ef3b4e3dc5e4150d0	0.0	0.0	0.0	0.0	0.0	0.0	129.0	0.0	0.0	0.0	0.0
d5f139dc10f8bab8b267b04eaf9450d2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	127.0	0.0	0.0	0.0
1df8ad75688f7b9844c611cc87f3f889	0.0	0.0	0.0	0.0	0.0	0.0	125.0	0.0	0.0	0.0	0.0
0654cc62f2b2d1f6652ba8acca4ba9fb	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	123.0	0.0
8e713d9e1c53d64788e4995a10265800	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	119.0	0.0	0.0
00253ca94d26804d6faf27b17c38b53f	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	116.0	0.0	0.0
d1d24d5ef702ed8316897967f0aed4bc	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	114.0	0.0	0.0
7f182575baad2d44cbddc0244753a1f5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	113.0	0.0	0.0	0.0
33220b9095ffa3c3801735672647bec1	0.0	0.0	0.0	0.0	0.0	0.0	111.0	0.0	0.0	0.0	0.0
b2be5889cdf37d687f9ca89551b524d1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	111.0
94c7cea88cef65bf8040fdb6c1c8a35f	0.0	0.0	0.0	0.0	0.0	0.0	0.0	110.0	0.0	0.0	0.0
bf55bd26144885a451efaf7c35b7682e	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	110.0	0.0	0.0
9a915763a44d3fc386ec86ee3397cc56	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	108.0	0.0	0.0
5e61ebd95a7061ddfc13aa875f6f37bd	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	108.0
ff5f6f18385584694ebf84c4a7c80208	0.0	0.0	0.0	0.0	0.0	0.0	0.0	104.0	0.0	0.0	0.0
1674315123b30ae8acee0d80eab73209	0.0	0.0	0.0	0.0	0.0	0.0	0.0	103.0	0.0	0.0	0.0
3273e25fd3adc502b814d4e33550aa25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	103.0	0.0	0.0
da0f726a70f9ee59bbdb99092c15e0fe	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.0	0.0	0.0
431fc469c7c74aad4658db25dbec8d97	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	99.0	0.0
32aa17b703203ff6861153754faa29b5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	96.0	0.0	0.0
402e86753250356f4d438432556963dd	0.0	0.0	0.0	0.0	0.0	0.0	0.0	92.0	0.0	0.0	0.0
d627a59f3a32dc93298b32e5e1165024	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	90.0	0.0	0.0
c188bae2ea531ea23b6e9697d793e886	0.0	0.0	0.0	0.0	89.0	0.0	0.0	0.0	0.0	0.0	0.0
ddf5eda14932310b7c7cb771b3f99d12	0.0	0.0	0.0	0.0	0.0	0.0	89.0	0.0	0.0	0.0	0.0
54b6af36397079c8ba4e3a76cbd2725f	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	89.0	0.0
cc6092015e9ae5bd2f8eb4e6948438c8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	88.0	0.0	0.0
84fc56f0b8549db7f28efc3c5393cd75	0.0	0.0	0.0	0.0	0.0	0.0	86.0	0.0	0.0	0.0	0.0
8e912b58de9ac7c94d8ccdb252e4256b	0.0	0.0	0.0	0.0	0.0	0.0	86.0	0.0	0.0	0.0	0.0
f15faa76c0a53d535363cf2d790eb408	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	84.0	0.0	0.0
