# Constructed from biom file
#OTU ID	PUF-IPEX-3	PUF-BOU-7	PUF-MBO-4	PUF-BOT-3	CTRL-neg-extraction-PUF	PUF-BOT-10	PUF-JD-10	PUF-IPEX-1	PUF-IPEX-8	PUF-JD14
947d103d0e3192467b5fda6ff37e7146	5379.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0
b43d19c6734061aba20cde4334b0c772	695.0	0.0	680.0	0.0	0.0	546.0	513.0	10.0	138.0	1261.0
efbf72a920a03347f6407072b84a43f9	218.0	0.0	332.0	0.0	0.0	0.0	172.0	4.0	1043.0	264.0
e2acd4fdce2163d8d0e1baaff3074f01	156.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
7f182575baad2d44cbddc0244753a1f5	138.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	5.0	0.0
53814ac04567f8e2287c46b0b52f47f1	119.0	27.0	0.0	0.0	0.0	0.0	193.0	0.0	435.0	98.0
0c11abb10ca8c4ca6a9466f89d510f2e	103.0	57.0	243.0	0.0	0.0	1728.0	982.0	29.0	953.0	585.0
0d1a483ebd4773116542454b0cc1a266	87.0	108.0	331.0	0.0	0.0	0.0	0.0	0.0	297.0	0.0
f031b07755265e77bda32778bf0081a4	76.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2c4dff555b2582367902ad3e38b509f4	61.0	0.0	0.0	0.0	0.0	0.0	0.0	10.0	0.0	0.0
1ff367e0f102d6ce0e147114d2c9bbbd	61.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
eec2170a8f2d0cd7dc3a18841a1ea5c7	60.0	48.0	2848.0	0.0	0.0	36.0	18.0	0.0	685.0	239.0
bcf59b4926413543b3fb02800d2d5b80	58.0	0.0	0.0	0.0	0.0	0.0	52.0	0.0	16.0	37.0
28322f16f318f6f937eec8e15d7e8a06	55.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.0	0.0
186655c711d9c22435d048944254d180	50.0	14.0	0.0	0.0	0.0	0.0	0.0	18.0	104.0	40.0
4916354e10b56f01558cec61ea960e29	49.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
cd105d28d4d35f057ad155c0d6676939	45.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
509601293428a905ac98259d992a33d4	43.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
46887261dcfc9c9ed16c3d394da9675c	42.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
84d466ebc485ab20f3291f656031a621	39.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
5f907557675481632654c893c4e319d5	38.0	4.0	81.0	0.0	0.0	0.0	0.0	0.0	0.0	120.0
bec08d51eb66022d7172c03768d5fd5d	36.0	17.0	115.0	0.0	0.0	1129.0	782.0	0.0	283.0	52.0
86da7c5fa355c537016c0b5a771dd7eb	35.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
bd29633837bcc3003dd038eac7ec33ff	34.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.0	155.0
346bc70bbc56cc5fc46932accd608df6	34.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
7970c113788b8dd3c3d4ab8cd0cff958	34.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
24c7b169fd1a4bbd0df611e175020c64	33.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
dece8419b8e4e1cc5d3a8bdc85038c21	32.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	27.0	0.0
