# Constructed from biom file
#OTU ID	PUF-IPEX-3	PUF-BOU-7	PUF-MBO-4	PUF-BOT-3	CTRL-neg-extraction-PUF	PUF-BOT-10	PUF-JD-10	PUF-IPEX-1	ctrl-PCR-neg-PUF	PUF-IPEX-8	PUF-JD14
947d103d0e3192467b5fda6ff37e7146	14720.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0
b43d19c6734061aba20cde4334b0c772	1615.0	2.0	1638.0	0.0	0.0	1274.0	1156.0	18.0	0.0	293.0	2891.0
efbf72a920a03347f6407072b84a43f9	620.0	0.0	829.0	0.0	0.0	0.0	419.0	17.0	0.0	2463.0	640.0
7f182575baad2d44cbddc0244753a1f5	404.0	0.0	0.0	0.0	0.0	0.0	15.0	0.0	0.0	20.0	0.0
e2acd4fdce2163d8d0e1baaff3074f01	397.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
53814ac04567f8e2287c46b0b52f47f1	281.0	77.0	0.0	0.0	0.0	0.0	396.0	0.0	0.0	963.0	246.0
0c11abb10ca8c4ca6a9466f89d510f2e	259.0	124.0	555.0	0.0	0.0	4003.0	2231.0	64.0	0.0	2127.0	1482.0
eec2170a8f2d0cd7dc3a18841a1ea5c7	197.0	176.0	8301.0	0.0	0.0	113.0	46.0	2.0	0.0	1866.0	762.0
186655c711d9c22435d048944254d180	192.0	30.0	0.0	0.0	0.0	0.0	0.0	51.0	0.0	256.0	117.0
bcf59b4926413543b3fb02800d2d5b80	192.0	0.0	0.0	0.0	0.0	0.0	144.0	0.0	0.0	43.0	105.0
f031b07755265e77bda32778bf0081a4	184.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0d1a483ebd4773116542454b0cc1a266	181.0	278.0	757.0	0.0	0.0	0.0	0.0	0.0	0.0	717.0	0.0
1ff367e0f102d6ce0e147114d2c9bbbd	165.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2c4dff555b2582367902ad3e38b509f4	162.0	0.0	0.0	0.0	0.0	0.0	0.0	41.0	0.0	0.0	0.0
28322f16f318f6f937eec8e15d7e8a06	147.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25.0	0.0
5f907557675481632654c893c4e319d5	127.0	14.0	167.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	302.0
cd105d28d4d35f057ad155c0d6676939	124.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4916354e10b56f01558cec61ea960e29	121.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
84d466ebc485ab20f3291f656031a621	115.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
46887261dcfc9c9ed16c3d394da9675c	110.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
589974931988706a852f1bb2c5aa12dc	110.0	39.0	2046.0	1.0	0.0	0.0	200.0	0.0	0.0	10204.0	449.0
bec08d51eb66022d7172c03768d5fd5d	107.0	35.0	269.0	0.0	0.0	2743.0	1802.0	0.0	0.0	645.0	111.0
bd29633837bcc3003dd038eac7ec33ff	104.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	28.0	355.0
