# Constructed from biom file
#OTU ID	C-pos-1	C-pos-2	ctrl-PCR-neg-PUF	Ins-Cocoon	Ins-Door	Ins-Top	Mont-Tremblant	Negative-PUF	PUF-BOT-1	PUF-BOT-2	PUF-BOT-4	PUF-BOT-5	PUF-BOT-6	PUF-BOT-7	PUF-BOT-8	PUF-BOT-9	PUF-BOU-1	PUF-BOU-2	PUF-BOU-3	PUF-BOU-4	PUF-BOU-5	PUF-BOU-6	PUF-BOU-8	PUF-BOU-9	PUF-IPEX-10	PUF-IPEX-2	PUF-IPEX-4	PUF-IPEX-5	PUF-IPEX-6	PUF-IPEX-7	PUF-IPEX-9	PUF-JD-1	PUF-JD-2	PUF-JD-3	PUF-JD-5	PUF-JD-6	PUF-JD-7	PUF-JD-8	PUF-JD-9	PUF-MBO-1	PUF-MBO-10	PUF-MBO-2	PUF-MBO-3	PUF-MBO-5	PUF-MBO-6	PUF-MBO-7	PUF-MBO-8	PUF-MBO-9
0c11abb10ca8c4ca6a9466f89d510f2e	0.0	0.0	0.0	0.0	0.0	0.0	32.0	0.0	0.0	118.0	307.0	541.0	684.0	1873.0	486.0	747.0	0.0	14.0	91.0	208.0	1528.0	526.0	1525.0	781.0	2267.0	57.0	760.0	3164.0	752.0	1051.0	895.0	45.0	0.0	174.0	478.0	2446.0	2064.0	82.0	621.0	121.0	730.0	25.0	244.0	252.0	575.0	990.0	1065.0	1670.0
b43d19c6734061aba20cde4334b0c772	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	351.0	470.0	481.0	506.0	307.0	915.0	293.0	216.0	14.0	554.0	754.0	800.0	1285.0	391.0	654.0	219.0	694.0	411.0	2343.0	1485.0	421.0	334.0	200.0	109.0	111.0	928.0	390.0	827.0	735.0	14.0	785.0	281.0	559.0	261.0	2275.0	323.0	251.0	770.0	514.0	225.0
ef8858611ab7825ba742dfb93d5dbedf	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18392.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
efbf72a920a03347f6407072b84a43f9	0.0	0.0	0.0	0.0	0.0	0.0	296.0	0.0	113.0	66.0	88.0	207.0	199.0	607.0	446.0	19.0	8.0	29.0	86.0	40.0	162.0	124.0	28.0	30.0	793.0	242.0	327.0	874.0	286.0	661.0	100.0	23.0	0.0	216.0	142.0	126.0	339.0	37.0	54.0	1046.0	1698.0	108.0	277.0	190.0	773.0	2448.0	854.0	398.0
434f6ae6ef6e722112c5b3bc5ec6824c	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14196.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
589974931988706a852f1bb2c5aa12dc	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	78.0	59.0	179.0	169.0	0.0	0.0	0.0	0.0	31.0	138.0	97.0	705.0	638.0	893.0	0.0	164.0	1125.0	1917.0	332.0	1829.0	0.0	0.0	0.0	41.0	46.0	175.0	0.0	60.0	0.0	318.0	15.0	130.0	534.0	1313.0	666.0	996.0	489.0
eec2170a8f2d0cd7dc3a18841a1ea5c7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	59.0	78.0	61.0	188.0	57.0	41.0	0.0	138.0	145.0	264.0	540.0	182.0	433.0	132.0	195.0	27.0	245.0	707.0	641.0	305.0	742.0	0.0	0.0	80.0	67.0	69.0	105.0	0.0	17.0	16.0	232.0	34.0	2174.0	856.0	872.0	746.0	474.0	1018.0
bec08d51eb66022d7172c03768d5fd5d	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	21.0	0.0	287.0	42.0	128.0	439.0	251.0	225.0	0.0	0.0	0.0	10.0	954.0	84.0	445.0	254.0	1003.0	0.0	176.0	211.0	107.0	176.0	376.0	0.0	7.0	46.0	136.0	480.0	973.0	24.0	224.0	0.0	420.0	7.0	105.0	56.0	141.0	218.0	356.0	977.0
f7718bbdbd503a21d2692b3b333490cb	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	68.0	125.0	65.0	47.0	0.0	0.0	0.0	0.0	64.0	144.0	716.0	901.0	994.0	0.0	37.0	254.0	575.0	108.0	1406.0	0.0	0.0	9.0	28.0	54.0	177.0	15.0	24.0	0.0	361.0	0.0	41.0	264.0	726.0	444.0	927.0	780.0
6f1a1255050532cae60680a72dce419a	2802.0	6263.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
