# Constructed from biom file
#OTU ID	PUF-BOU-8	ctrl-PCR-neg-PUF	PUF-BOT-5	PUF-BOT-1	PUF-IPEX-5	PUF-MBO-7	PUF-BOU-2	PUF-JD-7	PUF-BOT-4	Mont-Tremblant	PUF-BOU-3	PUF-BOT-9	PUF-MBO-9	PUF-BOT-7	PUF-IPEX-9	C-pos-1	PUF-JD-1	PUF-BOT-6	PUF-BOU-4	PUF-IPEX-6	PUF-IPEX-7	PUF-JD-5	PUF-BOT-2	PUF-MBO-1	PUF-BOU-5	PUF-BOU-6	PUF-BOU-1	PUF-BOT-8	C-pos-2	PUF-JD-9	PUF-MBO-8	PUF-MBO-2	PUF-MBO-6	Negative-PUF	PUF-MBO-3	PUF-MBO-10	PUF-MBO-5	Ins-Top	PUF-IPEX-2	PUF-JD-3	PUF-BOU-9	PUF-JD-2	PUF-IPEX-4	PUF-IPEX-10	Ins-Door	Ins-Cocoon	PUF-JD-8	PUF-JD-6
0c11abb10ca8c4ca6a9466f89d510f2e	1701.0	0.0	569.0	0.0	3773.0	1123.0	18.0	2271.0	524.0	44.0	115.0	1107.0	1901.0	1959.0	962.0	0.0	46.0	800.0	276.0	812.0	1045.0	609.0	121.0	128.0	1825.0	563.0	0.0	571.0	0.0	670.0	1252.0	50.0	588.0	0.0	305.0	800.0	368.0	0.0	90.0	160.0	1259.0	4.0	888.0	2651.0	0.0	0.0	95.0	3494.0
589974931988706a852f1bb2c5aa12dc	1067.0	0.0	150.0	0.0	2006.0	1086.0	0.0	241.0	0.0	0.0	0.0	64.0	372.0	289.0	2946.0	0.0	0.0	109.0	28.0	3542.0	560.0	67.0	0.0	0.0	254.0	128.0	0.0	299.0	0.0	85.0	1567.0	27.0	1719.0	0.0	104.0	372.0	1306.0	0.0	0.0	0.0	1262.0	0.0	200.0	1397.0	0.0	0.0	1.0	101.0
f7718bbdbd503a21d2692b3b333490cb	998.0	0.0	0.0	0.0	184.0	616.0	0.0	260.0	0.0	0.0	0.0	91.0	1214.0	120.0	1934.0	0.0	0.0	105.0	0.0	644.0	92.0	55.0	0.0	0.0	96.0	134.0	0.0	96.0	0.0	36.0	1454.0	0.0	772.0	0.0	0.0	473.0	395.0	0.0	0.0	14.0	2012.0	0.0	25.0	1445.0	0.0	0.0	23.0	124.0
eec2170a8f2d0cd7dc3a18841a1ea5c7	939.0	0.0	97.0	0.0	1656.0	1803.0	311.0	200.0	241.0	0.0	236.0	97.0	2688.0	444.0	1505.0	0.0	0.0	107.0	661.0	1557.0	586.0	140.0	0.0	29.0	1427.0	391.0	0.0	109.0	0.0	32.0	1237.0	109.0	1697.0	0.0	5063.0	481.0	2577.0	0.0	79.0	159.0	395.0	17.0	555.0	450.0	0.0	0.0	6.0	157.0
afb94828a83235f617d67b54fe89fe79	868.0	0.0	0.0	7.0	3.0	4.0	12.0	67.0	0.0	0.0	0.0	181.0	478.0	328.0	1426.0	0.0	3.0	4.0	0.0	3.0	19.0	0.0	88.0	0.0	0.0	0.0	6.0	278.0	0.0	169.0	888.0	1.0	8.0	0.0	2.0	232.0	0.0	0.0	9.0	1.0	648.0	3.0	0.0	820.0	0.0	0.0	55.0	0.0
b43d19c6734061aba20cde4334b0c772	776.0	0.0	665.0	535.0	1969.0	998.0	686.0	884.0	881.0	0.0	889.0	341.0	240.0	1149.0	243.0	0.0	114.0	391.0	1004.0	581.0	410.0	512.0	569.0	385.0	1725.0	445.0	24.0	407.0	0.0	885.0	666.0	477.0	287.0	0.0	2971.0	593.0	560.0	0.0	705.0	1108.0	324.0	151.0	2856.0	975.0	0.0	0.0	17.0	1343.0
bec08d51eb66022d7172c03768d5fd5d	668.0	0.0	82.0	29.0	322.0	311.0	9.0	1271.0	773.0	0.0	0.0	440.0	1523.0	542.0	508.0	0.0	0.0	203.0	27.0	166.0	249.0	216.0	0.0	0.0	1592.0	129.0	0.0	421.0	0.0	325.0	545.0	12.0	178.0	0.0	135.0	506.0	111.0	0.0	12.0	66.0	628.0	12.0	270.0	1469.0	0.0	0.0	53.0	1031.0
0d1a483ebd4773116542454b0cc1a266	569.0	0.0	0.0	0.0	134.0	444.0	168.0	27.0	0.0	0.0	158.0	55.0	253.0	0.0	406.0	0.0	0.0	0.0	59.0	56.0	252.0	0.0	0.0	143.0	93.0	166.0	0.0	23.0	0.0	0.0	900.0	36.0	129.0	0.0	184.0	185.0	243.0	0.0	70.0	25.0	401.0	0.0	199.0	543.0	0.0	0.0	0.0	1.0
a4ce6cfe96b9ce0ad304803934790435	251.0	0.0	0.0	0.0	0.0	257.0	0.0	0.0	0.0	0.0	9.0	0.0	535.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.0	0.0	22.0	0.0	0.0	621.0	0.0	499.0	0.0	0.0	179.0	0.0	0.0	0.0	0.0	1053.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
c1b05b58063b2a2ce034c9b37a2afa7a	212.0	0.0	0.0	0.0	4.0	0.0	5.0	36.0	9.0	0.0	16.0	11.0	13.0	24.0	19.0	0.0	0.0	49.0	89.0	2.0	7.0	0.0	0.0	0.0	95.0	7.0	0.0	3.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	11.0	0.0	0.0	0.0	24.0	3.0	0.0	0.0	0.0	0.0	0.0	19.0
42a334b44b84641c69386150c7cde441	198.0	0.0	69.0	10.0	336.0	160.0	54.0	40.0	24.0	0.0	119.0	70.0	61.0	78.0	579.0	0.0	0.0	0.0	101.0	412.0	424.0	0.0	0.0	0.0	672.0	274.0	6.0	0.0	0.0	41.0	117.0	0.0	45.0	0.0	45.0	77.0	88.0	0.0	0.0	7.0	145.0	0.0	283.0	268.0	0.0	0.0	0.0	47.0
be8dc1271132728b62d899f6fe83b643	152.0	0.0	0.0	0.0	0.0	0.0	0.0	1955.0	0.0	0.0	0.0	17.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	90.0	0.0	0.0	108.0	8.0	0.0	44.0	0.0	128.0	0.0	0.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0	54.0	23.0	0.0	0.0	0.0	0.0	0.0	37.0	1219.0
59e6049d961456e2d630c072e518e9b6	137.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
